month_num,month,occupied,occupancy_rate
1,Enero,0.49547477330953066,49.547477330953065
2,Febrero,0.48212385260077156,48.212385260077156
3,Marzo,0.41965308741047175,41.965308741047174
4,Abril,0.33556161589286504,33.5561615892865
5,Mayo,0.3481291867466002,34.81291867466002
6,Junio,0.4355134243261153,43.55134243261153
7,Julio,0.6926388729187205,69.26388729187205
8,Agosto,0.6826728595314259,68.26728595314259
9,Septiembre,0.5711774259033698,57.11774259033698
10,Octubre,0.5168220849944427,51.68220849944427
11,Noviembre,0.431499711764445,43.1499711764445
12,Diciembre,0.48143991897934574,48.143991897934576
